date,propInfectedMedian,propInfectedLB,propInfectedUB
2020-03-16,0.016892004504827945,0.015423539773096394,0.018422756726271257
2020-03-17,0.021959605856276328,0.020050601705025314,0.023949583744152632
2020-03-18,0.02449340653200052,0.022364132670989773,0.026712997253093323
2020-03-19,0.02702720720772471,0.02467766363695423,0.02947641076203401
2020-03-20,0.03209480855917309,0.02930472556888315,0.03500323777991539
2020-03-21,0.03293940878441449,0.03007590255753797,0.03592437561622895
2020-03-22,0.03631780968538008,0.03316061051215725,0.0396089269614832
2020-03-23,0.040540810811587065,0.03701649545543135,0.044214616143051014
2020-03-24,0.04307461148731126,0.039330026421395804,0.0469780296519917
2020-03-25,0.049831413289242434,0.04549944233063436,0.05434713234250021
2020-03-26,0.051520613739725225,0.047041796307944,0.05618940801512733
2020-03-27,0.05574361486593221,0.0508976812512181,0.060795097196695146
2020-03-28,0.0608112162173806,0.05552474318314702,0.06632192421457653
2020-03-29,0.06587881756882898,0.06015180511507594,0.0718487512324579
2020-03-30,0.07516942004648434,0.06863475199027895,0.08198126743190709
2020-03-31,0.08446002252413971,0.07711769886548198,0.09211378363135628
2020-04-01,0.0903722241008295,0.08251593778606571,0.09856174848555123
2020-04-02,0.09459522522703648,0.08637182272933981,0.10316743766711904
2020-04-03,0.10388582770469186,0.09485476960454282,0.11329995386656823
2020-04-04,0.10979802928138163,0.10025300852512657,0.11974791872076317
2020-04-05,0.1182440315337956,0.10796477841167476,0.1289592970838988
2020-04-06,0.1216224324347612,0.11104948636629404,0.13264384842915306
2020-04-07,0.12584543356096817,0.11490537130956814,0.13724953761072087
2020-04-08,0.13260223536289936,0.1210747872188067,0.14461864030122937
2020-04-09,0.14189283784055473,0.12955773409400972,0.15475115650067855
2020-04-10,0.1503388400929687,0.1372695039805579,0.16396253486381418
2020-04-11,0.15962944257062406,0.14575245085576094,0.17409505106326337
2020-04-12,0.16892004504827943,0.15423539773096395,0.18422756726271255
2020-04-13,0.1815890484269004,0.16580305256078623,0.19804463480741602
2020-04-14,0.19256885135503857,0.1758283534132989,0.21001942667949233
2020-04-15,0.2094608558598665,0.1912518931863953,0.22844218340576358
2020-04-16,0.22719746058993584,0.2074466099481465,0.2477860779683484
2020-04-17,0.2390218637433154,0.21824308778931398,0.26068200767673827
2020-04-18,0.25675846847338474,0.2344378045510652,0.2800259022393231
2020-04-19,0.2668936711762815,0.24369192841492304,0.29107955627508586
2020-04-20,0.27871807432966106,0.25448840625609054,0.30397548598347574
2020-04-21,0.3032114808616616,0.2768525389270803,0.3306884832365691
2020-04-22,0.3277048873936621,0.2992166715980701,0.35740148048966236
2020-04-23,0.34797529279945566,0.3177249193257857,0.37950878856118786
2020-04-24,0.37669170045766315,0.3439449369400496,0.41082747499584904
2020-04-25,0.3944283051877325,0.3601396537018008,0.4301713695584338
2020-04-26,0.43243531532359536,0.3948426181912677,0.47162257219254416
2020-04-27,0.45777332208083726,0.4179779278509123,0.49925670728195104
2020-04-28,0.49493573199145874,0.45190971535172436,0.5397867720797478
2020-04-29,0.529564341226356,0.483527971886572,0.5775534233686039
2020-04-30,0.5709497522631845,0.5213156443306581,0.6226891773479685
2020-05-01,0.6157135642009786,0.5621880247293636,0.6715094826725873
2020-05-02,0.6630111768144968,0.6053739360940334,0.7230932015061469
2020-05-03,0.7010181869503597,0.6400769005835004,0.7645444041402572
2020-05-04,0.7474711993386365,0.6824916349595155,0.8152069851375031
2020-05-05,0.8074378153307757,0.7372452011540077,0.8806077715157661
2020-05-06,0.8741612331248461,0.7981681832577384,0.9533776605845375
2020-05-07,0.935817049567468,0.8544641034295403,1.0206207226354276
2020-05-08,0.986493063081952,0.9007347227488295,1.0758889928142414
2020-05-09,1.0413920777226426,0.9508612270113928,1.1357629521746229
2020-05-10,1.1106492961924372,1.014097740081088,1.2112962547523352
2020-05-11,1.1773727139865078,1.0750207221848187,1.2840661438211065
2020-05-12,1.26943413853782,1.1590790139481941,1.384470167979285
2020-05-13,1.3538941610619597,1.236196712813676,1.4765839516106412
2020-05-14,1.4282189808832026,1.3040602878153003,1.5576440812062347
2020-05-15,1.5321048085878946,1.398915057419843,1.6709440350728029
2020-05-16,1.6250108333644482,1.4837445261718731,1.7722691970672948
2020-05-17,1.720450658816726,1.5708875258898678,1.8763577725707274
2020-05-18,1.824336486521418,1.6657422954944106,1.9896577264372957
2020-05-19,1.9273777140008683,1.7598258881102986,2.1020365424675505
2020-05-20,2.0490001464356298,1.8708753744765927,2.2346803908967035
2020-05-21,2.143595371662666,1.9572471972059324,2.3378478285638224
2020-05-22,2.2508596002683237,2.0551866747650944,2.454832333775645
2020-05-23,2.347144025945843,2.1431008514717442,2.559842047115391
2020-05-24,2.4468068525243276,2.234099736133013,2.6685363118003913
2020-05-25,2.554071081129985,2.332039213692175,2.785520817012214
2020-05-26,2.6604907095104013,2.429207514262682,2.901584184387723
2020-05-27,2.7947821453237833,2.5518246554587987,3.048045100361579
2020-05-28,2.908803175731372,2.6559335489271994,3.1723987082639105
2020-05-29,3.027891807490409,2.7646695043275287,3.3022791431841227
2020-05-30,3.153737241051377,2.879574875637097,3.4395286807948438
2020-05-31,3.2762042737113797,2.991395538992046,3.57309366706031
2020-06-01,3.419786312002417,3.122495627063365,3.7296870992336157
2020-06-02,3.5430979448876614,3.2350874674069687,3.864173223335396
2020-06-03,3.672321779349595,3.353077546671156,4.005107312291371
2020-06-04,3.819282218541598,3.487262342697095,4.165385295809931
2020-06-05,3.954418254580222,3.610650660881866,4.312767349620101
2020-06-06,4.077729887465465,3.7232425012254695,4.447253473721881
2020-06-07,4.213710523729331,3.8474019963988955,4.595556665368365
2020-06-08,4.331109955037885,3.9545955978219154,4.72359482461595
2020-06-09,4.473847393103681,4.08492450890458,4.879267118952942
2020-06-10,4.581111621709338,4.182863986463742,4.996251624164764
2020-06-11,4.684152849188789,4.27694757907963,5.10863044019502
2020-06-12,4.793106278244929,4.376429410616102,5.227457221079469
2020-06-13,4.900370506850586,4.474368888175264,5.344441726291292
2020-06-14,5.03550654288921,4.597757206360035,5.491823780101462
2020-06-15,5.173176379603558,4.723459055510771,5.6419692474205725
2020-06-16,5.296488012488802,4.836050895854375,5.776455371522353
2020-06-17,5.408819842445908,4.938617435345465,5.898966703752056
2020-06-18,5.522840872853497,5.042726328813866,6.023320311654388
2020-06-19,5.619125298531015,5.130640505520516,6.128330024994133
2020-06-20,5.716254324433776,5.21932585921582,6.234260876170193
2020-06-21,5.8083157489850885,5.303384150979196,6.334664900328372
2020-06-22,5.915579977590746,5.401323628538357,6.451649405540194
2020-06-23,6.012709003493507,5.490008982233662,6.557580256716253
2020-06-24,6.119128631873923,5.587177282804169,6.6736436240917625
2020-06-25,6.204433254623304,5.6650661586583055,6.766678545559433
2020-06-26,6.296494679174616,5.749124450421681,6.867082569717611
2020-06-27,6.391934504626894,5.836267450139676,6.971171145221043
2020-06-28,6.476394527151034,5.913385149005157,7.0632849288524
2020-06-29,6.552408547422759,5.982791077984092,7.14618733412062
2020-06-30,6.650382173550762,6.07224760866805,7.2530393231329935
2020-07-01,6.755957201705936,6.168644732249903,7.368181552672189
2020-07-02,6.840417224230076,6.245762431115385,7.460295336303545
2020-07-03,6.924032646528974,6.322108952992212,7.551487982098588
2020-07-04,7.006803468602631,6.397684297880384,7.641759490057317
2020-07-05,7.091263491126771,6.4748019967458665,7.7338732736886735
2020-07-06,7.170655912299462,6.54729263367942,7.820460230302149
2020-07-07,7.2610281364002915,6.629808571465485,7.9190219787877
2020-07-08,7.343798958473949,6.705383916353657,8.00929348674643
2020-07-09,7.427414380772847,6.781730438230484,8.100486132541471
2020-07-10,7.485691796314503,6.834941650447667,8.164044643247108
2020-07-11,7.554949014784298,6.898178163517363,8.23957794582482
2020-07-12,7.636875236632713,6.97298233141688,8.328928315947236
2020-07-13,7.684172849246232,7.01616824278155,8.380512034780795
2020-07-14,7.7475178661393365,7.074006516930662,8.449597372504313
2020-07-15,7.802416880780028,7.124133021193225,8.509471331864694
2020-07-16,7.862383496772166,7.178886587387717,8.574872118242956
2020-07-17,7.928262314340995,7.239038392502793,8.646720869475415
2020-07-18,7.994141131909824,7.299190197617869,8.718569620707871
2020-07-19,8.04566174564955,7.346231993925813,8.774759028722999
2020-07-20,8.103939161191207,7.399443206142995,8.838317539428635
2020-07-21,8.164750377408586,7.454967949326142,8.904639463643212
2020-07-22,8.212892590247346,7.498925037679467,8.957144320313084
2020-07-23,8.278771407816174,7.559076842794543,9.028993071545543
2020-07-24,8.337048823357831,7.612288055011725,9.092551582251179
2020-07-25,8.391947837998522,7.662414559274289,9.15242554161156
2020-07-26,8.44515765218873,7.710998709559543,9.210457225299315
2020-07-27,8.494144465252731,7.755726974901522,9.263883219805502
2020-07-28,8.549888080118663,7.80662465615274,9.324678317002196
2020-07-29,8.610699296336044,7.8621493993358875,9.391000241216773
2020-07-30,8.657996908949563,7.905335310700557,9.442583960050332
2020-07-31,8.706139121788322,7.949292399053882,9.495088816720205
2020-08-01,8.760193536203772,7.99864772632779,9.554041638244273
2020-08-02,8.81340335039398,8.047231876613044,9.612073321932028
2020-08-03,8.853944161205566,8.084248372068476,9.65628793807508
2020-08-04,8.905464774945292,8.131290168376418,9.712477346090207
2020-08-05,8.950228586883085,8.172162548775125,9.761297651414825
2020-08-06,9.01948580535288,8.23539906184482,9.836830953992537
2020-08-07,9.076074020444054,8.287067920084693,9.898547189025546
2020-08-08,9.119993232156606,8.327169123494743,9.946446356513851
2020-08-09,9.165601644319642,8.368812680882103,9.996187799674784
2020-08-10,9.210365456257437,8.40968506128081,10.045008104999402
2020-08-11,9.26104146977192,8.455955680600098,10.100276375178217
2020-08-12,9.299893080133025,8.49142982207822,10.14264871564864
2020-08-13,9.341278491169852,8.529217494522307,10.187784469628005
2020-08-14,9.390265304233854,8.573945759864285,10.241210464134191
2020-08-15,9.437562916847373,8.617131671228956,10.292794182967752
2020-08-16,9.4789483278842,8.654919343673042,10.337929936947116
2020-08-17,9.520333738921028,8.692707016117128,10.38306569092648
2020-08-18,9.560029949507374,8.728952334583905,10.426359169233217
2020-08-19,9.591280157841306,8.757485883164133,10.460441269176819
2020-08-20,9.633510169103376,8.796044732596874,10.506498160992498
2020-08-21,9.67827398104117,8.836917112995579,10.555318466317116
2020-08-22,9.723882393204207,8.878560670382939,10.605059909478049
2020-08-23,9.772869206268206,8.92328893572492,10.658485903984236
2020-08-24,9.820166818881725,8.96647484708959,10.710069622817795
2020-08-25,9.873376633071933,9.015058997374842,10.76810130650555
2020-08-26,9.923208046361175,9.060558439705478,10.822448438848049
2020-08-27,9.964593457398005,9.098346112149564,10.867584192827414
2020-08-28,10.016114071137729,9.145387908457508,10.92377360084254
2020-08-29,10.054121081273593,9.180090872946973,10.965224803476652
2020-08-30,10.110709296364766,9.231759731186846,11.02694103850966
2020-08-31,10.159696109428767,9.276487996528827,11.080367033015847
2020-09-01,10.204459921366562,9.317360376927532,11.129187338340467
2020-09-02,10.236554729925734,9.346665102496415,11.164190576120381
2020-09-03,10.284696942764494,9.39062219084974,11.216695432790255
2020-09-04,10.321014752449873,9.423782801361897,11.256304359751738
2020-09-05,10.369156965288633,9.467739889715222,11.308809216421611
2020-09-06,10.417299178127394,9.511696978068546,11.361314073091483
2020-09-07,10.45783998893898,9.548713473523978,11.405528689234535
2020-09-08,10.489090197272912,9.577247022104206,11.439610789178136
2020-09-09,10.519495805381602,9.605009393695779,11.472771751285425
2020-09-10,10.54905681326505,9.632000588298698,11.5050115755564
2020-09-11,10.588753023851396,9.668245906765476,11.548305053863137
2020-09-12,10.631827635338707,9.70757593318687,11.59528308351513
2020-09-13,10.666456244573604,9.739194189721719,11.633049734803985
2020-09-14,10.71206465673664,9.780837747109079,11.682791177964917
2020-09-15,10.749227066647261,9.81476953460989,11.723321242762713
2020-09-16,10.791457077909332,9.853328384042632,11.769378134578393
2020-09-17,10.830308688270437,9.888802525520754,11.811750475048816
2020-09-18,10.864937297505334,9.9204207820556,11.849517126337672
2020-09-19,10.900410506965471,9.952810215579104,11.888204915462842
2020-09-20,10.946018919128507,9.994453772966464,11.937946358623774
2020-09-21,10.988248930390577,10.033012622399205,11.984003250439452
2020-09-22,11.025411340301199,10.066944409900017,12.02453331523725
2020-09-23,11.063418350437061,10.101647374389483,12.06598451787136
2020-09-24,11.10480376147389,10.13943504683357,12.111120271850725
2020-09-25,11.137743170258304,10.169510949391109,12.147044647466952
2020-09-26,11.187574583547548,10.215010391721743,12.201391779809454
2020-09-27,11.233182995710582,10.256653949109102,12.251133222970385
2020-09-28,11.268656205170721,10.289043382632604,12.289821012095555
2020-09-29,11.300751013729894,10.318348108201487,12.324824249875471
2020-09-30,11.343825625217205,10.357678134622883,12.371802279527463
2020-10-01,11.387744836929759,10.397779338032935,12.419701447015768
2020-10-02,11.424062646615138,10.430939948545092,12.459310373977251
2020-10-03,11.459535856075277,10.463329382068594,12.49799816310242
2020-10-04,11.51021186958976,10.509600001387883,12.553266433281234
2020-10-05,11.550752680401349,10.546616496843315,12.597481049424285
2020-10-06,11.596361092564383,10.588260054230675,12.647222492585218
2020-10-07,11.636901903375971,10.625276549686106,12.691437108728268
2020-10-08,11.66730751148466,10.65303892127768,12.724598070835556
2020-10-09,11.701936120719559,10.684657177812527,12.762364722124413
2020-10-10,11.741632331305905,10.720902496279304,12.80565820043115
2020-10-11,11.770348738964111,10.747122513893569,12.836976886865811
2020-10-12,11.809200349325215,10.78259665537169,12.879349227336235
2020-10-13,11.847207359461079,10.817299619861156,12.920800429970345
2020-10-14,11.889437370723147,10.855858469293898,12.966857321786025
2020-10-15,11.923221379732803,10.88670554884009,13.003702835238567
2020-10-16,11.961228389868667,10.921408513329556,13.045154037872676
2020-10-17,11.998390799779289,10.955340300830368,13.085684102670474
2020-10-18,12.039776210816116,10.993127973274456,13.130819856649838
2020-10-19,12.06511421757336,11.0162632829341,13.158453991739245
2020-10-20,12.100587427033497,11.048652716457603,13.197141780864415
2020-10-21,12.130148434916947,11.07564391106052,13.229381605135389
2020-10-22,12.160554043025636,11.103406282652095,13.262542567242678
2020-10-23,12.19264885158481,11.132711008220978,13.297545805022592
2020-10-24,12.226432860594466,11.16355808776717,13.334391318475136
2020-10-25,12.257683068928397,11.1920916363474,13.368473418418738
2020-10-26,12.286399476586604,11.218311653961663,13.399792104853399
2020-10-27,12.324406486722468,11.253014618451129,13.44124330748751
2020-10-28,12.360724296407847,11.286175228963288,13.480852234448992
2020-10-29,12.401265107219436,11.323191724418718,13.525066850592044
2020-10-30,12.437582916904814,11.356352334930875,13.564675777553527
2020-10-31,12.469677725463988,11.385657060499758,13.599679015333441
2020-11-01,12.500083333572679,11.413419432091333,13.63283997744073
2020-11-02,12.534711942807576,11.44503768862618,13.670606628729585
2020-11-03,12.568495951817232,11.475884768172373,13.70745214218213
2020-11-04,12.612415163529784,11.515985971582422,13.755351309670434
2020-11-05,12.641976171413233,11.542977166185342,13.787591133941408
2020-11-06,12.672381779521924,11.570739537776916,13.820752096048697
2020-11-07,12.70616578853158,11.601586617323107,13.857597609501239
2020-11-08,12.734882196189787,11.627806634937372,13.8889162959359
2020-11-09,12.771200005875167,11.660967245449529,13.928525222897383
2020-11-10,12.799916413533374,11.687187263063793,13.959843909332045
2020-11-11,12.831166621867306,11.71572081164402,13.993926009275647
2020-11-12,12.870862832453652,11.751966130110798,14.037219487582384
2020-11-13,12.898734639886618,11.777414970736407,14.067617036180732
2020-11-14,12.934207849346757,11.809804404259909,14.106304825305902
2020-11-15,12.957856655653515,11.831397359942244,14.132096684722681
2020-11-16,12.99670826601462,11.866871501420366,14.174469025193105
2020-11-17,13.029647674799035,11.896947403977904,14.210393400809334
2020-11-18,13.059208682682483,11.923938598580822,14.242633225080308
2020-11-19,13.096371092593104,11.957870386081634,14.283163289878106
2020-11-20,13.120864499125105,11.980234518752624,14.309876287131198
2020-11-21,13.152959307684279,12.009539244321507,14.344879524911114
2020-11-22,13.185054116243451,12.03884396989039,14.379882762691029
2020-11-23,13.218838125253107,12.069691049436583,14.416728276143571
2020-11-24,13.256000535163729,12.103622836937395,14.457258340941369
2020-11-25,13.28640614327242,12.13138520852897,14.490419303048657
2020-11-26,13.326946954084006,12.1684017039844,14.534633919191707
2020-11-27,13.362420163544146,12.200791137507903,14.573321708316877
2020-11-28,13.397893373004283,12.233180571031406,14.612009497442047
2020-11-29,13.423231379761525,12.25631588069105,14.639643632531454
2020-11-30,13.448569386518768,12.279451190350695,14.667277767620861
2020-12-01,13.48066419507794,12.308755915919578,14.702281005400776
2020-12-02,13.515292804312837,12.340374172454425,14.740047656689633
2020-12-03,13.543164611745803,12.365823013080034,14.770445205287979
2020-12-04,13.586239223233115,12.40515303950143,14.817423234939971
2020-12-05,13.617489431567046,12.433686588081658,14.851505334883573
2020-12-06,13.64958424012622,12.46299131365054,14.88650857266349
2020-12-07,13.683368249135876,12.493838393196734,14.923354086116031
2020-12-08,13.716307657920291,12.523914295754272,14.95927846173226
2020-12-09,13.756003868506635,12.56015961422105,15.002571940038997
2020-12-10,13.789787877516291,12.591006693767241,15.03941745349154
2020-12-11,13.82441648675119,12.62262495030209,15.077184104780397
2020-12-12,13.860734296436569,12.655785560814246,15.11679303174188
2020-12-13,13.90972110950057,12.700513826156227,15.170219026248066
2020-12-14,13.936748316708295,12.72519148979318,15.1996954370101
2020-12-15,13.967998525042226,12.753725038373409,15.233777536953703
2020-12-16,14.010228536304297,12.79228388780615,15.27983442876938
2020-12-17,14.048235546440159,12.826986852295617,15.32128563140349
2020-12-18,14.076951954098368,12.853206869909881,15.352604317838152
2020-12-19,14.10904676265754,12.882511595478764,15.387607555618066
2020-12-20,14.13945237076623,12.910273967070337,15.420768517725355
2020-12-21,14.179148581352576,12.946519285537114,15.464061996032093
2020-12-22,14.204486588109818,12.969654595196758,15.491696131121499
2020-12-23,14.23573679644375,12.998188143776986,15.525778231065102
2020-12-24,14.27205460612913,13.031348754289144,15.565387158026585
2020-12-25,14.297392612886371,13.054484063948788,15.593021293115992
2020-12-26,14.330332021670786,13.084559966506326,15.62894566873222
2020-12-27,14.359048429328993,13.11077998412059,15.660264355166882
2020-12-28,14.390298637662925,13.139313532700818,15.694346455110484
2020-12-29,14.4122582435192,13.159364134405845,15.718296038854636
2020-12-30,14.438440850501685,13.183270621054143,15.746851311780356
2020-12-31,14.457022055456996,13.20023651480455,15.767116344179255
